symbol,asOfDate,periodType,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,ForwardPeRatio,MarketCap,PbRatio,PeRatio,PegRatio,PsRatio,Ticker
ESS,2022-09-30,3M,21572099765.0,75.498461,52.647236,35.2113,15685194765.0,2.691422,40.91723,3.2522,10.418479,ESS
ESS,2022-10-03,TTM,,,,,,,41.689189,,,ESS
ESS,2022-12-31,3M,19773261839.0,52.212698,47.625413,34.7222,13722627839.0,2.400486,38.391304,3.8735,8.839132,ESS
ESS,2023-03-31,3M,19303784751.0,55.622008,46.806018,37.4532,13422942751.0,2.348158,33.355662,2.8337,8.473062,ESS
ESS,2023-06-30,3M,20838511127.0,70.208961,50.087398,42.9185,15038148127.0,2.676408,31.115538,3.2485,9.284003,ESS
ESS,2023-09-30,3M,19458321945.0,68.388314,46.419635,35.5872,13612636945.0,2.437285,25.83313,2.7016,8.287249,ESS
EL,2021-03-29,TTM,107931516372.0,,,42.1941,105392516372.0,19.441527,115.289683,3.1726,7.520202,EL
EL,2021-03-30,TTM,,54.101011,7.606167,,,,,,,EL
EL,2022-09-30,3M,80770972821.0,94.24851,20.55241,28.8184,77082972821.0,13.789441,32.961832,2.7653,4.441671,EL
EL,2022-12-31,3M,93084706451.0,159.391621,20.148205,46.729,88528706451.0,16.060884,41.214286,4.6681,5.217491,EL
EL,2023-03-31,3M,91828859115.0,174.24831,24.481167,34.1297,88076859115.0,14.923222,59.387952,3.4808,5.452528,EL
EL,2023-06-30,3M,74160398907.0,300.24453,20.548739,38.0228,70229398907.0,11.949872,64.598684,3.8058,4.472158,EL
EL,2023-09-30,3M,57865561389.0,168.213841,16.448426,39.2157,51725561389.0,9.26163,51.810036,3.9227,3.27895,EL
ETSY,2022-09-30,3M,13964338731.0,122.098984,23.490441,31.8471,12582513731.0,21.64566,35.381625,2.7625,6.115778,ETSY
ETSY,2022-12-31,3M,16403533490.0,101.170198,20.320491,34.1297,15054946490.0,,,3.2333,6.410941,ETSY
ETSY,2023-03-31,3M,14906752632.0,147.051451,23.259928,32.0513,13688373632.0,,,2.0009,5.500255,ETSY
ETSY,2023-06-30,3M,11778167396.0,132.838971,18.728919,24.6914,10428109396.0,,,1.6853,4.059505,ETSY
ETSY,2023-09-30,3M,9256432204.0,83.596129,14.547231,16.4745,7944231204.0,,,1.3171,3.02607,ETSY
EVRG,2022-09-30,3M,25533508878.0,30.759558,13.374631,15.873,13634208878.0,1.464894,16.685393,3.2004,2.530732,EVRG
EVRG,2022-12-31,3M,26084024708.0,79.840908,20.384514,17.4825,14444724708.0,1.503313,18.187861,3.0537,2.544087,EVRG
EVRG,2023-03-31,3M,26048739842.0,46.699067,20.086937,16.7785,14037839842.0,1.480207,18.691132,2.9264,2.402406,EVRG
EVRG,2023-06-30,3M,25741173839.0,42.212486,19.008399,15.9236,13419173839.0,1.414182,17.386905,3.0387,2.268305,EVRG
EVRG,2023-09-30,3M,24519099207.0,31.11166,14.688252,12.9702,11645899207.0,1.221397,15.410334,2.4741,1.999454,EVRG
ES,2022-09-30,3M,48473108472.0,45.70546,15.074148,17.9211,27079308472.0,1.798427,20.302083,3.1664,2.457369,ES
ES,2022-12-31,3M,51014014757.0,53.594313,16.837753,19.2308,29202093757.0,1.911984,20.855721,2.9584,2.47204,ES
ES,2023-03-31,3M,49863142497.0,46.36491,13.136942,17.9856,27297720497.0,1.764198,19.323457,2.7678,2.21131,ES
ES,2023-06-30,3M,48522306701.0,136.256513,18.454163,16.3132,24752635701.0,1.571659,16.987359,2.5082,1.957939,ES
ES,2023-09-30,3M,45079234142.0,56.687396,16.148854,12.5,20299340142.0,1.30508,17.255193,1.954,1.602149,ES
EXC,2022-09-30,3M,75096576443.0,38.353716,15.499809,15.5521,37225576443.0,1.573621,20.469945,3.5569,1.049199,EXC
