,maxAge,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,financialCurrency,Ticker,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,numberOfAnalystOpinions,earningsGrowth
0,86400,56.34,buy,1358000000.0,4.307,1940999936,10051999744.0,0.509,0.805,14174000128,250.798,45.082,0.0397,0.16223,2583000000.0,176000000.0,1652000000.0,-0.096,0.17559999,0.13694,0.10333,0.0429,USD,BALL,75.0,46.0,56.5,55.0,2.5,12.0,-0.484
0,86400,33.89,buy,412000000.0,1.807,1499000064,5709000192.0,0.432,1.39,7405000192,,32.549,0.1495,,3255000000.0,579000000.0,1104999936.0,-0.026,0.42512,0.20243,0.14149,0.09899,USD,BBWI,61.0,25.0,39.89,38.5,2.4,18.0,0.303
0,86400,36.55,hold,5788000256.0,11.409,3064000000,16929000448.0,1.345,1.938,15280000000,207.311,30.183,0.03787,0.03419,6031000000.0,1782000000.0,1634000000.0,0.027,0.38626,0.20052,0.11165,0.16962999,USD,BAX,53.0,35.0,43.85,44.0,2.6,13.0,
0,86400,238.25,buy,1424000000.0,4.903,5039000064,16410000384.0,0.596,1.306,19371999232,63.615,67.668,0.03253,0.059910003,8614000000.0,2855875072.0,2988999936.0,0.068,0.45544997,0.26012,0.207,0.07661,USD,BDX,310.0,240.0,282.0,280.0,1.9,13.0,-0.601
0,86400,73.42,hold,636000000.0,2.92,2620999936,4028999936.0,0.154,0.986,43541000192,143.279,198.659,0.06194,0.43962002,9912000000.0,713750016.0,2222000128.0,-0.078,0.21915,0.0602,0.03629,0.02931,USD,BBY,90.0,60.0,73.1,70.0,2.9,21.0,-0.01
0,86400,307.0,buy,1758993024.0,60.353,536048992,1405484032.0,3.991,5.638,2720366080,16.7,92.427,0.020450002,-0.01889,1568430000.0,196678000.0,373505984.0,-0.072,0.53768003,0.19705,0.14419,-0.05856,USD,BIO,482.0,350.0,426.4,440.0,1.8,5.0,
0,86400,64.57,buy,148663008.0,0.94,342404992,549529984.0,2.765,4.63,1143981952,27.508,7.264,0.06795,0.13161,770215000.0,165723248.0,257695008.0,0.027,0.67806,0.29931,0.20056999,0.21565,USD,TECH,95.0,65.0,77.55,80.0,1.6,11.0,-0.436
0,86400,234.64,buy,2287899904.0,15.79,2536600064,7715200000.0,0.98,1.683,9993299968,53.283,69.17,0.04859,0.10732,7895100000.0,1240937472.0,1359699968.0,0.009,0.75123,0.25383,0.1069,0.14628,USD,BIIB,500.0,239.0,323.48,315.0,2.0,29.0,
0,86400,756.35,buy,7070000128.0,47.525,6636000256,9664000000.0,1.408,2.051,17564999680,23.785,117.357,0.03317,0.13953,8787000000.0,3652250112.0,4140000000.0,0.049,0.48534,0.3778,0.36201,0.30663002,USD,BLK,823.54,619.72,704.53,683.98,1.9,13.0,0.152
0,86400,233.87,buy,13372000256.0,22.103,2872999936,52272001024.0,0.276,1.149,75756003328,,125.538,0.00456,,5768000000.0,6686000128.0,6035999744.0,0.135,0.114429995,0.037920002,-0.014529999,-0.0374,USD,BA,252.48,174.44,227.36,229.53,1.9,27.0,
0,86400,33.95,buy,949000000.0,4.037,2420999936,3860000000.0,1.208,1.651,17159000064,64.258,73.636,0.06979,0.15885,3101000000.0,1009875008.0,1334000000.0,0.123,0.19115,0.14109,0.0889,0.04231,USD,BWA,61.0,36.0,43.94,42.5,2.2,16.0,-0.816
0,86400,63.28,hold,882646976.0,5.624,1597687040,15556192256.0,3.083,3.421,2964101888,193.64,18.901,0.02017,0.03579,1952127000.0,1011282496.0,1284368000.0,-0.262,0.59548,0.53901,0.05223,0.06481,USD,BXP,80.0,52.0,64.29,62.0,2.7,17.0,
